,,"Violent Crime Rates (per 100,000 population)",,,,
"Sudbury, Ontario","Total firearms; use of, discharge, pointing",0,1.82,1.83,1.22,2.44
"Sudbury, Ontario",Discharge firearm with intent,0,0.61,0,0,1.22
"Sudbury, Ontario",Using firearm in commission of offence,0,0.61,0,1.22,0.61
"Sudbury, Ontario",Pointing a firearm,0,0.61,1.83,0,0.61
"Sudbury, Ontario",Total robbery (18),72.81,95.87,78.01,101.81,65.29
"Sudbury, Ontario",Robbery (18),72.81,95.87,78.01,101.81,65.29
"Sudbury, Ontario",Robbery to steal a firearm (18),,,0,0,0
"Sudbury, Ontario",Total forcible confinement or kidnapping (34),11.53,18.81,19.5,15.24,15.26
"Sudbury, Ontario",Forcible confinement or kidnapping (34),11.53,18.81,19.5,0,0
"Sudbury, Ontario",Kidnapping (34),,,0,0,1.22
"Sudbury, Ontario",Forcible confinement (34),,,0,15.24,14.03
"Sudbury, Ontario",Total abduction,1.21,0.61,0.61,0,0.61
"Sudbury, Ontario","Abduction under the age 14, not parent or guardian",1.21,0.61,0.61,0,0
"Sudbury, Ontario",Abduction under the age 16,0,0,0,0,0
"Sudbury, Ontario",Removal of children from Canada,0,0,0,0,0
"Sudbury, Ontario",Abduction under the age 14 contravening a custody order,0,0,0,0,0.61
"Sudbury, Ontario","Abduction under age 14, by parent or guardian",,,0,0,0
"Sudbury, Ontario",Extortion,2.43,5.46,1.83,5.49,6.1
"Sudbury, Ontario",Criminal harassment (36),74.63,97.08,104.21,110.35,99.46
"Sudbury, Ontario",Uttering threats,145.62,135.92,156.62,142.05,134.85
"Sudbury, Ontario",Threatening or harassing phone calls,12.13,26.7,12.19,9.75,9.15
"Sudbury, Ontario",Total other violent violations,7.89,2.43,14.63,7.32,12.2
"Sudbury, Ontario",Conspire to commit murder,0,0,0,0,0
"Sudbury, Ontario",Other sexual violations,0.61,0,0,0,0
"Sudbury, Ontario",Sexual Exploitation of a person with a disability,0,0,0,0,0
"Sudbury, Ontario",Incest,,,0,0,1.83
"Sudbury, Ontario",Corrupting morals of a child,0,0,0,0,0
"Sudbury, Ontario",Anal intercourse,0,0,0.61,0,0
"Sudbury, Ontario","Bestiality, commit or compel person",,,0,0,0
"Sudbury, Ontario",Voyeurism,2.43,0.61,3.05,0.61,1.83
"Sudbury, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"Sudbury, Ontario",Hostage-taking,0,0,0,0,0
"Sudbury, Ontario",Trafficking in persons,,,0,0,0.61
"Sudbury, Ontario",Intimidation of a justice system participant or a journalist,0.61,0.61,6.09,1.83,1.22
"Sudbury, Ontario",Intimidation of a non-justice participant,,,0.61,0,0
"Sudbury, Ontario",Explosives causing death or bodily harm,0,0,0.61,0,0.61
"Sudbury, Ontario","Arson, disregard for human life",1.21,0.61,3.66,2.44,2.44
"Sudbury, Ontario",Other violent violations,3.03,0.61,0,2.44,3.66
"Thunder Bay, Ontario",Total violent Criminal Code violations (16),1811.65,1811.1,1693.94,1649.4,1466.72
"Thunder Bay, Ontario","Homicide (17,24)",0,4.99,4.16,3.32,5.81
"Thunder Bay, Ontario","Murder, first degree (17,24)",0,0.83,1.66,0,1.66
"Thunder Bay, Ontario","Murder, second degree (17,24)",0,4.16,2.5,3.32,4.15
"Thunder Bay, Ontario","Manslaughter (17,24)",0,0,0,0,0
"Thunder Bay, Ontario","Infanticide (17,24)",,,0,0,0
"Thunder Bay, Ontario",Total other violations causing death,0,1.66,0,0,0.83
"Thunder Bay, Ontario",Criminal negligence causing death,0,1.66,0,0,0.83
"Thunder Bay, Ontario",Other related violations causing death,0,0,0,0,0
"Thunder Bay, Ontario",Attempted murder,1.66,0,0,0,0
"Thunder Bay, Ontario","Sexual assault, level 3, aggravated",0,0,0.83,0,0.83
"Thunder Bay, Ontario","Sexual assault, level 2, weapon or bodily harm",1.66,1.66,1.66,0,0.83
"Thunder Bay, Ontario","Sexual assault, level 1",88.09,75.74,82.37,77.28,75.58
"Thunder Bay, Ontario",Total sexual violations against children (26),0,1.66,9.15,8.31,12.46
"Thunder Bay, Ontario",Sexual interference (26),0,0,6.66,4.99,11.63
"Thunder Bay, Ontario",Invitation to sexual touching (26),0,0,1.66,2.49,0
"Thunder Bay, Ontario",Sexual exploitation (26),0,0,0,0,0.83
"Thunder Bay, Ontario",Making sexually explicit material available to children (48),,,,,0
"Thunder Bay, Ontario",Luring a child via a computer (26),0,1.66,0.83,0.83,0
"Thunder Bay, Ontario","Assault, level 3, aggravated",32.41,35.79,21.63,27.42,19.93
"Thunder Bay, Ontario","Assault, level 2, weapon or bodily harm",206.1,213.9,220.48,211.06,177.73
"Thunder Bay, Ontario","Assault, level 1",795.3,858.11,720.51,678.87,630.37
"Thunder Bay, Ontario","Total assaults against a peace officer (25,35)",20.78,28.3,30.78,26.59,20.76
"Thunder Bay, Ontario",Total other assaults,3.32,4.16,8.32,3.32,2.49
"Thunder Bay, Ontario",Unlawfully causing bodily harm,0,0,0,0,0
"Thunder Bay, Ontario",Criminal negligence causing bodily harm,0,0.83,0.83,0,0.83
"Thunder Bay, Ontario",Other assaults,3.32,3.33,7.49,3.32,1.66
"Thunder Bay, Ontario","Total firearms; use of, discharge, pointing",8.31,3.33,3.33,0.83,0.83
"Thunder Bay, Ontario",Discharge firearm with intent,0.83,0,0,0,0
"Thunder Bay, Ontario",Using firearm in commission of offence,4.16,2.5,0,0,0
"Thunder Bay, Ontario",Pointing a firearm,3.32,0.83,3.33,0.83,0.83
"Thunder Bay, Ontario",Total robbery (18),130.47,129.84,148.93,142.09,99.66
"Thunder Bay, Ontario",Robbery (18),130.47,129.84,148.93,142.09,99.66
"Thunder Bay, Ontario",Robbery to steal a firearm (18),,,0,0,0
"Thunder Bay, Ontario",Total forcible confinement or kidnapping (34),15.79,22.47,31.62,19.11,26.58
"Thunder Bay, Ontario",Forcible confinement or kidnapping (34),15.79,22.47,31.62,19.11,26.58
"Thunder Bay, Ontario",Kidnapping (34),,,0,0,0
"Thunder Bay, Ontario",Forcible confinement (34),,,0,0,0
"Thunder Bay, Ontario",Total abduction,0,0,2.5,2.49,0.83
"Thunder Bay, Ontario","Abduction under the age 14, not parent or guardian",0,0,0.83,0.83,0.83
"Thunder Bay, Ontario",Abduction under the age 16,0,0,1.66,0.83,0
"Thunder Bay, Ontario",Removal of children from Canada,0,0,0,0.83,0
"Thunder Bay, Ontario",Abduction under the age 14 contravening a custody order,0,0,0,0,0
"Thunder Bay, Ontario","Abduction under age 14, by parent or guardian",0,0,0,0,0
"Thunder Bay, Ontario",Extortion,1.66,2.5,2.5,4.15,5.81
"Thunder Bay, Ontario",Criminal harassment (36),115.51,107.37,122.3,140.43,125.41
"Thunder Bay, Ontario",Uttering threats,185.32,148.15,192.19,189.45,153.65
"Thunder Bay, Ontario",Threatening or harassing phone calls,182.83,158.97,88.19,102.2,102.99
"Thunder Bay, Ontario",Total other violent violations,22.44,12.48,2.5,12.46,3.32
"Thunder Bay, Ontario",Conspire to commit murder,0,0,0,0,0
"Thunder Bay, Ontario",Other sexual violations,15.79,10.82,0,0,0
"Thunder Bay, Ontario",Sexual Exploitation of a person with a disability,0,0,0,0,0
"Thunder Bay, Ontario",Incest,0,0,0,0.83,1.66
"Thunder Bay, Ontario",Corrupting morals of a child,0,0,0,0,0
"Thunder Bay, Ontario",Anal intercourse,0,0,0,0.83,0.83
"Thunder Bay, Ontario","Bestiality, commit or compel person",0,0,0,0,0
"Thunder Bay, Ontario",Voyeurism,0,0,0.83,0,0
"Thunder Bay, Ontario",Trap likely to or causing bodily harm,,,0,0,0
"Thunder Bay, Ontario",Hostage-taking,0,0,0,0,0
"Thunder Bay, Ontario",Trafficking in persons,0,0,0,0,0
"Thunder Bay, Ontario",Intimidation of a justice system participant or a journalist,0,0,0.83,4.15,0
"Thunder Bay, Ontario",Intimidation of a non-justice participant,,,0,0.83,0
"Thunder Bay, Ontario",Explosives causing death or bodily harm,0,0,0,0,0
"Thunder Bay, Ontario","Arson, disregard for human life",0.83,0.83,0.83,5.82,0.83
"Thunder Bay, Ontario",Other violent violations,5.82,0.83,0,0,0
Manitoba,Total violent Criminal Code violations (16),2028.46,2157.63,2192.4,2062.81,2040.88
Manitoba,"Homicide (17,24)",4.48,4.67,3.64,4.23,4.1
Manitoba,"Murder, first degree (17,24)",1.16,0.82,0.89,0.72,0.47
Manitoba,"Murder, second degree (17,24)",2.74,3.03,1.7,2.8,2.6
Manitoba,"Manslaughter (17,24)",0.58,0.82,1.05,0.72,1.03
Manitoba,"Infanticide (17,24)",,,0,0,0
Manitoba,Total other violations causing death,0.83,0.33,0.97,0.4,0.55
Manitoba,Criminal negligence causing death,0.83,0.33,0.97,0.4,0.55
Manitoba,Other related violations causing death,0,0,0,0,0
Manitoba,Attempted murder,2.99,2.21,2.1,2.64,1.74
Manitoba,"Sexual assault, level 3, aggravated",1,0.25,0.81,0.32,0.55
Manitoba,"Sexual assault, level 2, weapon or bodily harm",1.91,1.72,2.51,2.24,2.13
Manitoba,"Sexual assault, level 1",105,102.3,113.7,114.17,112.55
Manitoba,Total sexual violations against children (26),1.24,4.92,10.92,13.82,12.87
Manitoba,Sexual interference (26),0.41,3.61,7.53,10.39,8.45
Manitoba,Invitation to sexual touching (26),0.08,0.49,1.94,0.8,1.58
Manitoba,Sexual exploitation (26),0,0.16,0.32,1.04,0.63
Manitoba,Making sexually explicit material available to children (48),,,,,0
Manitoba,Luring a child via a computer (26),0.75,0.66,1.13,1.6,2.21
Manitoba,"Assault, level 3, aggravated",27.12,27.95,29.05,31.16,31.73
Manitoba,"Assault, level 2, weapon or bodily harm",331.59,341.26,340.45,327.48,326.6
Manitoba,"Assault, level 1",846.49,899.91,881.75,846.22,868.59
Manitoba,"Total assaults against a peace officer (25,35)",36.91,59.59,103.42,68.95,57.54
Manitoba,Total other assaults,3.57,3.61,5.99,3.91,4.18
Manitoba,Unlawfully causing bodily harm,1,0.98,0.81,0.48,0.24
Manitoba,Criminal negligence causing bodily harm,0.83,0.74,1.38,1.28,0.55
Manitoba,Other assaults,1.74,1.89,3.8,2.16,3.39
Manitoba,"Total firearms; use of, discharge, pointing",8.38,10.49,16.18,16.14,15.55
Manitoba,Discharge firearm with intent,5.47,4.92,4.21,2.56,2.68
Manitoba,Using firearm in commission of offence,0.33,0.98,2.75,3.2,3.16
Manitoba,Pointing a firearm,2.57,4.59,9.23,10.39,9.71
Manitoba,Total robbery (18),158.25,198.95,176.98,177.68,168.11
Manitoba,Robbery (18),158.25,198.95,176.82,177.6,168.11
Manitoba,Robbery to steal a firearm (18),,,0.16,0.08,0
Manitoba,Total forcible confinement or kidnapping (34),16.59,19.59,18.21,16.38,11.44
Manitoba,Forcible confinement or kidnapping (34),16.59,19.59,17.97,11.18,6.31
Manitoba,Kidnapping (34),,,0,0.08,0
Manitoba,Forcible confinement (34),,,0.24,5.11,5.13
Manitoba,Total abduction,2.41,2.95,2.1,2,1.97
Manitoba,"Abduction under the age 14, not parent or guardian",1.49,1.39,0.89,0.72,0.95
Manitoba,Abduction under the age 16,0.17,0.16,0.08,0.16,0.32
Manitoba,Removal of children from Canada,0,0,0,0,0
Manitoba,Abduction under the age 14 contravening a custody order,0.33,0.66,0.49,0.4,0
Manitoba,"Abduction under age 14, by parent or guardian",0.41,0.74,0.65,0.72,0.71
Manitoba,Extortion,1.16,1.31,2.35,2.72,2.05
Manitoba,Criminal harassment (36),27.04,21.8,34.47,26.68,25.26
Manitoba,Uttering threats,327.94,336.34,346.52,311.1,303.63
Manitoba,Threatening or harassing phone calls,107.57,101.65,86.75,85.96,79.32
Manitoba,Total other violent violations,16.01,15.82,13.51,8.63,10.42
Manitoba,Conspire to commit murder,0.08,0.74,0,0.08,0.08
Manitoba,Other sexual violations,9.21,6.64,0,0,0
Manitoba,Sexual Exploitation of a person with a disability,0,0,0,0,0.32
Manitoba,Incest,0.17,0.66,1.21,0.72,1.1
Manitoba,Corrupting morals of a child,0,0,0.08,0,0
Manitoba,Anal intercourse,0,0.08,0.16,0,0.08
Manitoba,"Bestiality, commit or compel person",0.08,0,0.16,0,0.24
Manitoba,Voyeurism,0.25,0.82,1.62,0.72,0.79
Manitoba,Trap likely to or causing bodily harm,0,0,0,0,0
Manitoba,Hostage-taking,0,0,0,0,0
Manitoba,Trafficking in persons,0,0,0,0,0
Manitoba,Intimidation of a justice system participant or a journalist,1.08,0.98,1.46,0.88,0.95
Manitoba,Intimidation of a non-justice participant,0.17,0.66,1.7,1.52,1.42
Manitoba,Explosives causing death or bodily harm,0,0,0.08,0.16,0.16
Manitoba,"Arson, disregard for human life",2.82,2.46,2.59,1.92,2.6
Manitoba,Other violent violations,2.16,2.79,4.45,2.64,2.68
Saskatchewan (11),Total violent Criminal Code violations (16),2503.89,2518.7,2556.01,2384.18,2200.73
Saskatchewan (11),"Homicide (17,24)",2.96,3.5,3.26,3.59,2.69
Saskatchewan (11),"Murder, first degree (17,24)",0.39,0.49,0.86,1.04,0.83
Saskatchewan (11),"Murder, second degree (17,24)",1.87,2.14,2.01,1.89,1.57
Saskatchewan (11),"Manslaughter (17,24)",0.69,0.87,0.29,0.66,0.28
Saskatchewan (11),"Infanticide (17,24)",,,0.1,0,0
Saskatchewan (11),Total other violations causing death,0.49,0.29,0.57,0.38,1.57
Saskatchewan (11),Criminal negligence causing death,0.49,0.29,0.57,0.38,1.57
Saskatchewan (11),Other related violations causing death,0,0,0,0,0
Saskatchewan (11),Attempted murder,3.16,2.82,2.87,2.74,2.5
Saskatchewan (11),"Sexual assault, level 3, aggravated",1.38,0.97,0.77,0.85,1.11
Saskatchewan (11),"Sexual assault, level 2, weapon or bodily harm",1.48,1.94,1.63,2.17,1.48
Saskatchewan (11),"Sexual assault, level 1",113.44,111.9,107.82,106.07,93.89
Saskatchewan (11),Total sexual violations against children (26),5.13,14.38,22.02,22.22,22.32
Saskatchewan (11),Sexual interference (26),2.86,11.17,17.24,18.43,17.59
Saskatchewan (11),Invitation to sexual touching (26),0.99,2.53,1.82,1.8,2.41
Saskatchewan (11),Sexual exploitation (26),0.2,0.29,0.77,0.19,0.56
Saskatchewan (11),Making sexually explicit material available to children (48),,,,,0.28
Saskatchewan (11),Luring a child via a computer (26),1.09,0.39,2.2,1.8,1.48
Saskatchewan (11),"Assault, level 3, aggravated",35.91,40.8,40.22,41.41,39.82
Saskatchewan (11),"Assault, level 2, weapon or bodily harm",383.32,366.68,342.89,338.34,331.59
Saskatchewan (11),"Assault, level 1",1181.22,1179.02,1186.37,1133.95,1065.41
Saskatchewan (11),"Total assaults against a peace officer (25,35)",52.48,70.81,113.85,62.39,54.08
Saskatchewan (11),Total other assaults,12.23,18.94,11.78,11.44,8.52
Saskatchewan (11),Unlawfully causing bodily harm,0.39,0.39,0.57,0.19,0.19
Saskatchewan (11),Criminal negligence causing bodily harm,2.27,2.23,1.24,1.8,1.48
Saskatchewan (11),Other assaults,9.57,16.32,9.96,9.45,6.85
Saskatchewan (11),"Total firearms; use of, discharge, pointing",9.27,10.59,14.36,16.07,17.59
Saskatchewan (11),Discharge firearm with intent,3.06,4.08,1.82,3.5,5.28
Saskatchewan (11),Using firearm in commission of offence,0.89,1.55,2.59,1.61,2.41
Saskatchewan (11),Pointing a firearm,5.33,4.95,9.96,10.97,9.91
Saskatchewan (11),Total robbery (18),125.27,120.64,121.41,103.04,95.93
Saskatchewan (11),Robbery (18),125.27,120.64,121.41,103.04,95.84
Saskatchewan (11),Robbery to steal a firearm (18),,,0,0,0.09
Saskatchewan (11),Total forcible confinement or kidnapping (34),14.11,14.38,16.95,9.17,10.09
Saskatchewan (11),Forcible confinement or kidnapping (34),14.11,14.38,11.59,1.32,0
Saskatchewan (11),Kidnapping (34),,,0.67,0.66,0.83
Saskatchewan (11),Forcible confinement (34),,,4.69,7.18,9.26
Saskatchewan (11),Total abduction,4.64,1.46,3.54,2.65,1.85
Saskatchewan (11),"Abduction under the age 14, not parent or guardian",2.47,0.87,2.01,1.42,0.83
Saskatchewan (11),Abduction under the age 16,0.49,0.19,0,0.28,0.28
Saskatchewan (11),Removal of children from Canada,0,0,0,0,0
Saskatchewan (11),Abduction under the age 14 contravening a custody order,1.28,0.29,1.05,0.85,0.46
Saskatchewan (11),"Abduction under age 14, by parent or guardian",0.39,0.1,0.48,0.09,0.28
Saskatchewan (11),Extortion,1.58,2.23,2.11,1.04,1.67
Saskatchewan (11),Criminal harassment (36),56.13,51.29,62.14,58.8,49.26
Saskatchewan (11),Uttering threats,368.42,373.87,376.69,344.01,295.66
Saskatchewan (11),Threatening or harassing phone calls,109.98,111.22,112.8,109,91.86
Saskatchewan (11),Total other violent violations,21.31,20.98,11.97,14.84,11.85
Saskatchewan (11),Conspire to commit murder,0.49,0,0.19,0,0.09
Saskatchewan (11),Other sexual violations,11.15,8.84,0,0,0
Saskatchewan (11),Sexual Exploitation of a person with a disability,0,0,0,0.19,0
Saskatchewan (11),Incest,0.99,0.68,0.77,1.13,0.56
Saskatchewan (11),Corrupting morals of a child,0.1,0,0.1,0.09,0
Saskatchewan (11),Anal intercourse,0,0,0.29,0.09,0
Saskatchewan (11),"Bestiality, commit or compel person",0,0.1,0.1,0.28,0.09
Saskatchewan (11),Voyeurism,1.09,1.46,1.53,2.17,2.04
Saskatchewan (11),Trap likely to or causing bodily harm,,,0,0.09,0
Saskatchewan (11),Hostage-taking,0.1,0.49,0,0.09,0.28
Saskatchewan (11),Trafficking in persons,0,0,0,0.09,0
Saskatchewan (11),Intimidation of a justice system participant or a journalist,0.59,1.07,0.77,1.04,1.3
Saskatchewan (11),Intimidation of a non-justice participant,0,0.49,1.82,2.17,1.2
Saskatchewan (11),Explosives causing death or bodily harm,0.1,0,0,0.09,0
Saskatchewan (11),"Arson, disregard for human life",1.28,1.94,1.92,3.69,3.15
Saskatchewan (11),Other violent violations,5.43,5.93,4.5,3.59,3.15
Alberta,Total violent Criminal Code violations (16),1543.01,1530.91,1477.73,1407.97,1382
Alberta,"Homicide (17,24)",3.06,2.59,2.07,2.89,2.19
Alberta,"Murder, first degree (17,24)",1.59,1.01,0.73,1.11,0.72
Alberta,"Murder, second degree (17,24)",1.28,1.23,1.13,1.48,1.14
Alberta,"Manslaughter (17,24)",0.19,0.35,0.19,0.29,0.34
Alberta,"Infanticide (17,24)",0,0,0.03,0,0
Alberta,Total other violations causing death,0.28,0.3,0.19,0.24,0.28
Alberta,Criminal negligence causing death,0.22,0.27,0.19,0.24,0.26
Alberta,Other related violations causing death,0.06,0.03,0,0,0.03
Alberta,Attempted murder,2.12,1.96,1.13,1.32,1.08
Alberta,"Sexual assault, level 3, aggravated",0.5,0.41,0.56,0.77,0.49
Alberta,"Sexual assault, level 2, weapon or bodily harm",1.11,0.79,1.29,1.4,0.72
Alberta,"Sexual assault, level 1",66.92,60.01,70.84,71.7,71.53
Alberta,Total sexual violations against children (26),3.4,7.27,10.9,9.63,9.65
Alberta,Sexual interference (26),1.56,4.6,7.81,6.88,6.14
Alberta,Invitation to sexual touching (26),0.64,1.14,1.45,1.22,1.26
Alberta,Sexual exploitation (26),0.25,0.27,0.46,0.32,0.21
Alberta,Making sexually explicit material available to children (48),,,,,0.03
Alberta,Luring a child via a computer (26),0.95,1.25,1.18,1.22,2.01
Alberta,"Assault, level 3, aggravated",18.76,18.54,17.24,17.73,18.1
Alberta,"Assault, level 2, weapon or bodily harm",195.98,183.19,168,163.68,163.79
Alberta,"Assault, level 1",690.66,678.43,628.21,622.17,617.18
Alberta,"Total assaults against a peace officer (25,35)",32.6,50.1,78.9,40.26,31.93
Alberta,Total other assaults,6.74,5.94,5.24,6.19,4.62
Alberta,Unlawfully causing bodily harm,0.39,0.14,0.27,0.26,0.13
Alberta,Criminal negligence causing bodily harm,0.95,0.38,0.56,0.74,0.67
Alberta,Other assaults,5.4,5.42,4.4,5.19,3.82
Alberta,"Total firearms; use of, discharge, pointing",6.15,6.48,7.92,8.18,8.67
Alberta,Discharge firearm with intent,2.76,2.45,3.2,3.6,3.82
Alberta,Using firearm in commission of offence,0.58,1.06,1.48,1.54,1.42
Alberta,Pointing a firearm,2.81,2.97,3.25,3.04,3.43
Alberta,Total robbery (18),106.34,101.7,86.47,77.69,69.05
Alberta,Robbery (18),106.34,101.7,86.47,77.69,69.05
Alberta,Robbery to steal a firearm (18),,,0,0,0
Alberta,Total forcible confinement or kidnapping (34),16.98,17.83,16.73,11.49,11.85
Alberta,Forcible confinement or kidnapping (34),16.95,17.64,13.94,4.98,3.56
Alberta,Kidnapping (34),,,0.32,0.98,1.06
Alberta,Forcible confinement (34),0.03,0.19,2.47,5.53,7.23
Alberta,Total abduction,1.64,1.63,1.8,1.61,1.39
Alberta,"Abduction under the age 14, not parent or guardian",0.84,0.82,0.94,0.64,0.7
Alberta,Abduction under the age 16,0.17,0.22,0.16,0.16,0.15
Alberta,Removal of children from Canada,0.03,0,0,0,0
Alberta,Abduction under the age 14 contravening a custody order,0.19,0.38,0.24,0.53,0.34
Alberta,"Abduction under age 14, by parent or guardian",0.42,0.22,0.46,0.29,0.21
Alberta,Extortion,3.17,4,3.12,3.02,3.46
Alberta,Criminal harassment (36),45.91,49.99,55.21,58.76,57.52
Alberta,Uttering threats,251.02,252.02,236.43,214.53,211.27
Alberta,Threatening or harassing phone calls,77.67,77.54,76.37,84.86,85.83
Alberta,Total other violent violations,12,10.18,9.1,9.85,11.36
Alberta,Conspire to commit murder,0.11,0.05,0.05,0.11,0.08
Alberta,Other sexual violations,5.76,2.72,0.13,0.24,0.15
Alberta,Sexual Exploitation of a person with a disability,0,0,0.03,0,0.08
Alberta,Incest,0.42,0.6,0.75,0.82,0.54
Alberta,Corrupting morals of a child,0.03,0.14,0.21,0.29,0.1
Alberta,Anal intercourse,0,0.08,0.03,0,0
Alberta,"Bestiality, commit or compel person",0.06,0.05,0.05,0.11,0.13
Alberta,Voyeurism,0.97,1.14,1.64,1.3,1.91
Alberta,Trap likely to or causing bodily harm,,,0,0,0.03
Alberta,Hostage-taking,0.08,0.03,0.03,0.11,0.13
Alberta,Trafficking in persons,0.06,0.27,0.11,0.05,0.03
Alberta,Intimidation of a justice system participant or a journalist,0.31,0.3,0.59,0.82,1.19
Alberta,Intimidation of a non-justice participant,0.14,0.35,0.48,1.09,1.14
Alberta,Explosives causing death or bodily harm,0.25,0.08,0.05,0.08,0.03
Alberta,"Arson, disregard for human life",1.39,1.36,1.18,1.59,2.94
Alberta,Other violent violations,2.42,3,3.76,3.26,2.89
"British Columbia (28,41,49)",Total violent Criminal Code violations (16),1685.35,1670.35,1570.57,1462.38,1382.02
"British Columbia (28,41,49)","Homicide (17,24)",2.67,2.65,1.83,1.9,1.54
"British Columbia (28,41,49)","Murder, first degree (17,24)",1.41,1.28,0.86,0.87,0.61
"British Columbia (28,41,49)","Murder, second degree (17,24)",1,1.1,0.79,0.79,0.67
"British Columbia (28,41,49)","Manslaughter (17,24)",0.25,0.27,0.15,0.24,0.26
"British Columbia (28,41,49)","Infanticide (17,24)",0,0,0.02,0,0
"British Columbia (28,41,49)",Total other violations causing death,0.25,0.36,0.46,0.24,0.22
"British Columbia (28,41,49)",Criminal negligence causing death,0.25,0.34,0.42,0.24,0.19
"British Columbia (28,41,49)",Other related violations causing death,0,0.02,0.04,0,0.02
"British Columbia (28,41,49)",Attempted murder,2.3,2.56,1.68,1.73,1.8
"British Columbia (28,41,49)","Sexual assault, level 3, aggravated",0.34,0.43,1.08,0.37,0.19
"British Columbia (28,41,49)","Sexual assault, level 2, weapon or bodily harm",1.25,1.21,1.3,1.09,0.87
"British Columbia (28,41,49)","Sexual assault, level 1",57.64,57.33,61.07,57.93,55.06
"British Columbia (28,41,49)",Total sexual violations against children (26),10.36,11.91,14.86,15.97,14.8
"British Columbia (28,41,49)",Sexual interference (26),7.87,8.99,11.7,12.48,11.57
"British Columbia (28,41,49)",Invitation to sexual touching (26),0.94,1.14,1.21,1.66,1.49
"British Columbia (28,41,49)",Sexual exploitation (26),0.5,0.49,0.49,0.48,0.45
"British Columbia (28,41,49)",Making sexually explicit material available to children (48),,,,,0.02
"British Columbia (28,41,49)",Luring a child via a computer (26),1.05,1.28,1.46,1.35,1.25
"British Columbia (28,41,49)","Assault, level 3, aggravated",9.65,9.24,9.87,9.72,8.26
"British Columbia (28,41,49)","Assault, level 2, weapon or bodily harm",212.83,196.48,188.21,173.03,168.76
"British Columbia (28,41,49)","Assault, level 1",674.95,671.7,612.65,586.51,551.16
"British Columbia (28,41,49)","Total assaults against a peace officer (25,35)",25.71,30.27,38.15,29.5,28.92
"British Columbia (28,41,49)",Total other assaults,18.36,8.9,7.42,5.18,5.17
"British Columbia (28,41,49)",Unlawfully causing bodily harm,0.34,0.13,0.04,0.04,0
"British Columbia (28,41,49)",Criminal negligence causing bodily harm,0.55,0.56,0.55,0.52,0.35
"British Columbia (28,41,49)",Other assaults,17.47,8.21,6.82,4.61,4.82
"British Columbia (28,41,49)","Total firearms; use of, discharge, pointing",5.91,6.03,5.78,4.59,5.11
"British Columbia (28,41,49)",Discharge firearm with intent,1.12,1.7,2.05,1.51,1.64
"British Columbia (28,41,49)",Using firearm in commission of offence,2.3,1.44,0.97,0.96,1.28
"British Columbia (28,41,49)",Pointing a firearm,2.49,2.89,2.76,2.12,2.18
"British Columbia (28,41,49)",Total robbery (18),123.46,115.16,108.2,98.15,97.52
"British Columbia (28,41,49)",Robbery (18),123.44,115.16,108.18,98.15,97.5
"British Columbia (28,41,49)",Robbery to steal a firearm (18),0.02,0,0.02,0,0.02
"British Columbia (28,41,49)",Total forcible confinement or kidnapping (34),10.2,9.96,7.51,7.08,6.3
"British Columbia (28,41,49)",Forcible confinement or kidnapping (34),10.2,9.96,0,0,0
"British Columbia (28,41,49)",Kidnapping (34),,,1.7,1.49,1.04
"British Columbia (28,41,49)",Forcible confinement (34),,,5.81,5.59,5.26
"British Columbia (28,41,49)",Total abduction,1.6,1.66,1.26,1.73,1.17
"British Columbia (28,41,49)","Abduction under the age 14, not parent or guardian",0.87,0.72,0.71,0.9,0.5
"British Columbia (28,41,49)",Abduction under the age 16,0.14,0.22,0.2,0.28,0.13
"British Columbia (28,41,49)",Removal of children from Canada,0.05,0.16,0.07,0.2,0.06
"British Columbia (28,41,49)",Abduction under the age 14 contravening a custody order,0.36,0.34,0.22,0.2,0.22
"British Columbia (28,41,49)","Abduction under age 14, by parent or guardian",0.18,0.22,0.07,0.15,0.26
"British Columbia (28,41,49)",Extortion,6.16,8.32,6.91,6.95,6.42
"British Columbia (28,41,49)",Criminal harassment (36),37.63,47.98,56.03,55.54,56.29
"British Columbia (28,41,49)",Uttering threats,354.33,347.47,316.33,285.52,266.28
"British Columbia (28,41,49)",Threatening or harassing phone calls,121.98,133.14,120.08,109.49,96.66
"British Columbia (28,41,49)",Total other violent violations,7.78,7.6,9.89,10.16,9.54
"British Columbia (28,41,49)",Conspire to commit murder,0.11,0.31,0.22,0.2,0.19
"British Columbia (28,41,49)",Other sexual violations,0.36,0,0,0,0
"British Columbia (28,41,49)",Sexual Exploitation of a person with a disability,0,0,0.11,0.11,0.15
"British Columbia (28,41,49)",Incest,0.36,0.36,0.84,0.33,0.45
"British Columbia (28,41,49)",Corrupting morals of a child,0.25,0,0.29,0.11,0.13
"British Columbia (28,41,49)",Anal intercourse,0.07,0,0.11,0.13,0.02
"British Columbia (28,41,49)","Bestiality, commit or compel person",0.07,0.11,0.04,0.11,0.06
"British Columbia (28,41,49)",Voyeurism,1.19,1.64,1.85,2.45,2.38
"British Columbia (28,41,49)",Trap likely to or causing bodily harm,0.05,0.02,0,0.02,0
"British Columbia (28,41,49)",Hostage-taking,0.09,0.04,0.07,0,0.04
"British Columbia (28,41,49)",Trafficking in persons,0.02,0.04,0.07,0.42,0.19
