,,"Violent Crime Rates (per 100,000 population)",,,,
New Brunswick,"Arson, disregard for human life",1.34,1.2,1.33,1.06,0.93
New Brunswick,Other violent violations,2.01,2.67,1.33,1.59,3.31
Quebec (50),Total violent Criminal Code violations (16),1088.95,1090,1067.52,1043.71,1047.23
Quebec (50),"Homicide (17,24)",1.19,1.12,1.06,1.32,1.34
Quebec (50),"Murder, first degree (17,24)",0.71,0.66,0.59,0.85,0.83
Quebec (50),"Murder, second degree (17,24)",0.4,0.33,0.37,0.34,0.34
Quebec (50),"Manslaughter (17,24)",0.08,0.13,0.1,0.13,0.17
Quebec (50),"Infanticide (17,24)",0,0,0,0,0
Quebec (50),Total other violations causing death,0.3,0.24,0.28,0.23,0.3
Quebec (50),Criminal negligence causing death,0.3,0.19,0.28,0.2,0.29
Quebec (50),Other related violations causing death,0,0.05,0,0.03,0.01
Quebec (50),Attempted murder,1.97,2.62,2.57,2.09,2.37
Quebec (50),"Sexual assault, level 3, aggravated",0.3,0.33,0.44,0.21,0.36
Quebec (50),"Sexual assault, level 2, weapon or bodily harm",1.02,0.73,0.86,0.78,0.76
Quebec (50),"Sexual assault, level 1",54.46,53.62,53.11,46.69,48.36
Quebec (50),Total sexual violations against children (26),4.41,11.51,13.51,13.01,15.17
Quebec (50),Sexual interference (26),2.35,7.65,9.46,9.13,10.52
Quebec (50),Invitation to sexual touching (26),0.92,1.88,2.19,1.99,2.5
Quebec (50),Sexual exploitation (26),0.12,0.23,0.34,0.31,0.19
Quebec (50),Making sexually explicit material available to children (48),,,,,0.01
Quebec (50),Luring a child via a computer (26),1.03,1.75,1.52,1.58,1.96
Quebec (50),"Assault, level 3, aggravated",3.32,3.86,3.16,3.08,3.5
Quebec (50),"Assault, level 2, weapon or bodily harm",146.13,143.46,144.51,137.22,128.59
Quebec (50),"Assault, level 1",404.82,400.97,389.17,383.68,385.5
Quebec (50),"Total assaults against a peace officer (25,35)",36.08,36.16,36.9,32.44,37.16
Quebec (50),Total other assaults,4.63,4.28,4.54,4.59,5.21
Quebec (50),Unlawfully causing bodily harm,1.79,1.79,1.75,1.64,2.11
Quebec (50),Criminal negligence causing bodily harm,0.93,0.88,1.02,1.68,1.08
Quebec (50),Other assaults,1.91,1.61,1.77,1.27,2.02
Quebec (50),"Total firearms; use of, discharge, pointing",3.32,4.29,4.34,4.4,4.39
Quebec (50),Discharge firearm with intent,0.36,0.95,1.34,1.03,1.08
Quebec (50),Using firearm in commission of offence,1.3,1.16,0.81,1.24,0.94
Quebec (50),Pointing a firearm,1.65,2.19,2.19,2.13,2.37
Quebec (50),Total robbery (18),90.47,86.6,81.54,84.67,71.8
Quebec (50),Robbery (18),90.47,86.59,81.47,84.56,71.68
Quebec (50),Robbery to steal a firearm (18),0,0.01,0.08,0.11,0.11
Quebec (50),Total forcible confinement or kidnapping (34),14.75,15.05,14.17,17.36,15.3
Quebec (50),Forcible confinement or kidnapping (34),13.83,9.1,0.2,0.01,0.01
Quebec (50),Kidnapping (34),0.1,0.66,1.67,1.6,1.39
